time,users,connected 
0,8,6 
10,12,5 
20,12,-9 
30,17,13 
40,22,7 
50,23,-13 
60,24,15 
70,40,9 
80,44,8 
90,55,12 
100,131,76 
110,188,57 
120,270,84 
130,288,15 
140,294,-7 
150,364,84 
160,377,-15 
170,381,15 
180,546,179 
190,566,3 
200,566,3 
210,921,285 
220,951,37 
230,951,-12 
240,951,-603 
249,951,-254 
