time,connect,request 
0,2.8899999999999997,75.53746153846154 
10,1.3908,57.33301785714286 
20,1.3734285714285712,34.14721296296299 
30,1.375733333333333,89.12472340425532 
40,1.4277241379310348,79.92147706422023 
50,1.3753750000000002,63.12746153846154 
60,1.5880000000000005,81.66347286821701 
70,1.5658666666666672,245.12906722689112 
80,1.555553191489362,287.6206631299737 
90,1.5923076923076924,241.15127507163336 
100,1.444444444444445,1943.9691092150179 
110,1.4775507246376816,3812.912568027209 
120,1.6475039999999994,2637.805896321071 
130,1.4221729323308268,1461.7065542667751 
140,1.4175256410256412,1434.8132436482083 
150,1.3609494163424138,1134.9803755008595 
160,1.4145065789473683,683.9060200716826 
170,1.5076813880126183,688.4992260656868 
180,1.415821092278718,497.1653690243213 
190,1.3635373608903016,338.08589088708385 
200,1.3299361022364218,356.49174249999936 
210,2.1081875000000023,246.06575579393387 
220,1.833405840886207,167.7736101308576 
230,1.3907654966392864,171.75875094271782 
240,1.3243931159420288,256.12701892417266 
249,0,1069.2617108208956 
