time,load@tsung_controller@ip-172-31-8-98 
0,0.01953125 
10,0.01953125 
20,0.01953125 
30,0.01171875 
40,0.01171875 
50,0.01171875 
60,0.01171875 
70,0.0 
80,0.0 
90,0.0 
100,0.0 
110,0.0 
120,0.0 
130,0.0 
140,0.078125 
150,0.0703125 
160,0.05859375 
170,0.12890625 
180,0.109375 
190,0.171875 
200,0.21875 
210,0.26171875 
220,0.37890625 
230,0.46875 
240,0.48046875 
250,0.55078125 
260,0.62890625 
270,0.609375 
280,0.91015625 
290,1.0 
300,1.1484375 
310,1.28125 
320,1.23828125 
330,1.05078125 
340,0.890625 
350,0.75 
353,0.62890625 
