time,users_count,finish_users_count 
0,3,1 
10,12,8 
20,20,16 
30,32,23 
40,51,37 
50,62,53 
60,102,80 
70,141,117 
80,179,155 
90,248,206 
100,337,289 
110,400,364 
120,537,468 
130,695,594 
140,864,774 
150,1130,986 
160,1464,1291 
170,1759,1601 
180,2298,2006 
190,2951,2600 
200,3572,3231 
210,4594,4006 
220,5811,5125 
230,7095,6330 
240,9185,7286 
250,11614,7979 
260,14074,9584 
270,18358,12960 
280,22913,17372 
290,27450,21834 
300,28767,24929 
310,28767,28153 
320,28767,28767 
330,28767,28767 
340,28767,28767 
350,28767,28767 
353,28767,28767 
