time,users_count,finish_users_count 
0,0.3,0.1 
10,0.9,0.7 
20,0.8,0.8 
30,1.2,0.7 
40,1.9,1.4 
50,1.1,1.6 
60,4,2.7 
70,3.9,3.7 
80,3.8,3.8 
90,6.9,5.1 
100,8.9,8.3 
110,6.3,7.5 
120,13.7,10.4 
130,15.8,12.6 
140,16.9,18 
150,26.6,21.2 
160,33.4,30.5 
170,29.5,31 
180,53.9,40.5 
190,65.3,59.4 
200,62.1,63.1 
210,102.2,77.5 
220,121.7,111.9 
230,128.4,120.5 
240,209,95.6 
250,242.9,69.3 
260,246,160.5 
270,428.4,337.6 
280,455.5,441.2 
290,453.7,446.2 
300,131.7,309.5 
310,0,322.4 
320,0,61.4 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
