time,cpu@tsung_controller@ip-172-31-8-98 
0,5.152949938820024 
10,5.152949938820024 
20,5.152949938820024 
30,5.152949938820024 
40,5.152949938820024 
50,5.152949938820024 
60,5.152949938820024 
70,5.152949938820024 
80,5.152949938820024 
90,5.152949938820024 
100,5.152949938820024 
110,5.152949938820024 
120,5.152949938820024 
130,5.386533665835412 
140,6.4179104477611935 
150,6.4179104477611935 
160,9.429280397022332 
170,12.904833084205281 
180,13.157894736842104 
190,19.584569732937684 
200,23.356573705179283 
210,23.875432525951556 
220,31.344032096288863 
230,38.11171527434503 
240,40.48323471400395 
250,42.123629112662016 
260,43.00543746910529 
270,54.00100654252642 
280,71.93515704154002 
290,85.4251012145749 
300,85.4251012145749 
310,85.4251012145749 
320,85.4251012145749 
330,85.4251012145749 
340,85.4251012145749 
350,85.4251012145749 
353,85.4251012145749 
