time,nomatch,match,match_stop 
260,149,1033,149 
270,383,1176,383 
280,740,1329,740 
290,1033,1432,1033 
300,1213,1574,1213 
310,1213,1670,1213 
320,1213,1670,1213 
330,1213,1670,1213 
340,1213,1670,1213 
350,1213,1670,1213 
353,1213,1670,1213 
