time,cpu@tsung_controller@ip-172-31-8-98 
0,5.152949938820024 
10,0.4992511233150275 
20,0.4495504495504496 
30,0.44932601098352476 
40,0.3003003003003003 
50,0.5 
60,0.20020020020020018 
70,0.7014028056112225 
80,0.7000000000000001 
90,0.5012531328320802 
100,1.250625312656328 
110,2.0 
120,3.2467532467532463 
130,5.386533665835412 
140,6.4179104477611935 
150,6.240639041437843 
160,9.429280397022332 
170,12.904833084205281 
180,13.157894736842104 
190,19.584569732937684 
200,23.356573705179283 
210,23.875432525951556 
220,31.344032096288863 
230,38.11171527434503 
240,40.48323471400395 
250,42.123629112662016 
260,43.00543746910529 
270,54.00100654252642 
280,71.93515704154002 
290,85.4251012145749 
300,85.09883426254436 
310,56.83632734530938 
320,37.49375936095856 
330,8.122833085685983 
340,0.25 
350,0.05002501250625312 
353,0.05002501250625312 
