time,users,connected 
0,4,1 
10,5,4 
20,10,4 
30,10,-1 
40,11,1 
50,16,2 
60,26,7 
70,27,1 
80,34,2 
90,39,16 
100,58,11 
110,58,-10 
120,78,37 
130,88,12 
140,98,-1 
150,143,56 
160,191,44 
170,203,15 
180,290,79 
190,335,52 
200,382,26 
210,603,240 
220,707,101 
230,754,35 
240,1846,1025 
250,2764,985 
260,2865,107 
270,3781,912 
280,4050,259 
290,4118,62 
300,4124,-2359 
310,4124,-1395 
320,4124,-330 
330,4124,0 
340,4124,0 
350,4124,0 
353,4124,0 
