time,users_count,finish_users_count 
0,0.8,0.5 
10,0.5,0.3 
20,1.3,0.9 
30,1.2,1.1 
40,2.4,2.3 
50,1.8,1.8 
60,4.1,3.2 
70,4.4,4.5 
80,4.2,4 
90,6.2,4.5 
100,8.2,7.5 
110,6.4,7.2 
120,14.7,11.3 
130,15.9,14.2 
140,12.9,13 
150,27.7,22.2 
160,31.6,26.9 
170,33.2,32.1 
180,52.7,44.8 
190,61,56 
200,64.1,61 
210,103.5,79.3 
220,119.3,109.1 
230,124.8,121.4 
240,208.7,97.9 
250,248,157.7 
260,239.9,229.7 
270,430.6,339.5 
280,472.4,446.6 
290,466.4,459.9 
300,133.4,375.6 
310,0,136.1 
320,0,30.2 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
