time,nomatch,match,match_stop 
250,95,868,95 
260,194,1016,194 
270,415,1141,415 
280,758,1286,758 
290,1105,1416,1105 
300,1275,1571,1275 
310,1275,1571,1275 
320,1275,1571,1275 
330,1275,1571,1275 
340,1275,1571,1275 
350,1275,1571,1275 
353,1275,1571,1275 
