time,users_count,finish_users_count 
0,8,5 
10,13,8 
20,26,17 
30,38,28 
40,62,51 
50,80,69 
60,121,101 
70,165,146 
80,207,186 
90,269,231 
100,351,306 
110,415,378 
120,562,491 
130,721,633 
140,850,763 
150,1127,985 
160,1443,1254 
170,1775,1575 
180,2302,2023 
190,2912,2583 
200,3553,3193 
210,4588,3986 
220,5781,5077 
230,7029,6291 
240,9116,7270 
250,11596,8847 
260,13995,11144 
270,18301,14539 
280,23025,19005 
290,27689,23604 
300,29023,27360 
310,29023,28721 
320,29023,29023 
330,29023,29023 
340,29023,29023 
350,29023,29023 
353,29023,29023 
