time,nomatch,match,match_stop 
250,9.5,11.6,9.5 
260,9.9,14.8,9.9 
270,22.1,12.5,22.1 
280,34.3,14.5,34.3 
290,34.7,13,34.7 
300,17,15.5,17 
310,0,0,0 
320,0,0,0 
330,0,0,0 
340,0,0,0 
350,0,0,0 
353,0,0,0 
