time,page 
0,146.61071175679265 
10,139.6576966848412 
20,133.4530294386266 
30,150.6607345575935 
40,133.9384768154787 
50,135.25635773552014 
60,140.84630081471755 
70,140.27100154224286 
80,146.70858698160546 
90,145.92409371605626 
100,140.96312713244646 
110,145.54985702177424 
120,145.30150219796997 
130,145.35660997949424 
140,142.45243250722035 
150,174.66794650632016 
160,168.87795949466505 
170,167.89735756792535 
180,1201.8599827272656 
190,2422.541958018074 
200,3832.84163153416 
210,4370.265770387906 
220,3284.90557557064 
230,3298.057629567924 
240,3600.1745304098063 
250,6.728674075876689 
260,0 
270,0 
280,0 
290,0 
292,0 
