time,connect,request 
0,2.7006999999999994,42.114306666666664 
10,1.3744444444444444,40.85404545454545 
20,1.5268888888888885,37.036316455696216 
30,1.6167307692307693,43.01647087378639 
40,1.6134736842105264,36.865447761194055 
50,1.7494117647058827,37.37854658385093 
60,1.5419677419354838,39.77814785992217 
70,1.452578947368421,40.347849710982686 
80,1.5166956521739134,39.906012658227844 
90,1.3497083333333337,40.68888691437804 
100,1.397423529411765,38.89111833550069 
110,1.3739879518072293,39.71769477911638 
120,1.465581699346406,40.64220912547528 
130,1.3518785714285722,39.73748909657313 
140,1.374993506493507,40.14329629629627 
150,1.350526666666668,48.74039489718196 
160,1.3504143835616444,45.856406779660965 
170,1.3796013513513523,46.05544688922612 
180,1.4411144366197177,467.295892040257 
190,1.3820133333333324,1325.3526956034646 
200,1.4330777957860625,2128.015227136224 
210,1.3078445772843719,970.0920519187399 
220,1.2997785829307555,905.0496792655647 
230,1.3943346581875982,908.2537320985422 
240,1.3534788732394358,1022.6626961294105 
250,0,13.355693333333335 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
292,0,0 
