time,session 
0,0.7 
10,0.8 
20,1.1 
30,1.7 
40,2.8 
50,1.9 
60,2.4 
70,3.8 
80,4.3 
90,5.9 
100,9 
110,8.1 
120,13.8 
130,14.2 
140,14.2 
150,26.9 
160,30.8 
170,27.6 
180,24.1 
190,27 
200,27.4 
210,97.1 
220,127.1 
230,124 
240,141.1 
250,0 
260,0 
270,0 
280,0 
290,0 
292,0 
