time,size_sent,size_rcv 
0,15.5890625,40.6109375 
10,90.640625,244.15234375 
20,120.24375,323.3515625 
30,156.7328125,418.87109375 
40,243.3953125,657.2390625 
50,366.64765625,982.5484375 
60,451.1828125,1204.225 
70,610.8296875,1645.53203125 
80,771.56484375,2063.71953125 
90,959.59609375,2579.49609375 
100,1196.87265625,3204.59375 
110,1452.328125,3939.7296875 
120,1725.1078125,4584.3875 
130,2179.7515625,5232.3546875 
140,2706.90078125,6238.70546875 
150,3374.5203125,7304.6171875 
160,4213.46484375,8659.75859375 
170,5148.1015625,10168.675 
180,6273.22109375,12024.02421875 
190,7800.36640625,14398.61875 
200,9221.8859375,16593.5578125 
210,11016.71171875,19281.66796875 
220,13447.35625,22945.328125 
230,15931.49609375,26657.2828125 
240,17844.01953125,30014.05390625 
247,18036.50390625,30310.71875 
