time,cpu@tsung_controller@ip-172-31-54-218 
0,7.362921950348277 
10,7.362921950348277 
20,7.362921950348277 
30,7.362921950348277 
40,7.362921950348277 
50,7.362921950348277 
60,7.362921950348277 
70,7.362921950348277 
80,7.362921950348277 
90,7.362921950348277 
100,7.362921950348277 
110,7.362921950348277 
120,7.362921950348277 
130,7.362921950348277 
140,7.362921950348277 
150,7.362921950348277 
160,7.362921950348277 
170,7.362921950348277 
180,7.362921950348277 
190,10.47040971168437 
200,11.008230452674898 
210,11.008230452674898 
220,16.27786417833074 
230,21.205821205821206 
240,21.205821205821206 
247,21.205821205821206 
