time,users,connected 
0,8,8 
10,19,10 
20,25,1 
30,25,3 
40,35,13 
50,37,-3 
60,43,10 
70,74,30 
80,74,-8 
90,109,44 
100,141,33 
110,141,-19 
120,217,88 
130,334,124 
140,447,110 
150,569,122 
160,741,173 
170,854,47 
180,1034,18 
190,1299,55 
200,1427,57 
210,1840,65 
220,2342,124 
230,2441,82 
240,2450,-52 
250,2450,-871 
260,2450,-264 
270,2450,0 
280,2450,0 
290,2450,0 
293,2450,0 
