time,users,connected 
0,8,7 
10,15,6 
20,18,4 
30,22,3 
40,42,20 
50,49,-1 
60,49,0 
70,58,18 
80,74,16 
90,114,39 
100,162,48 
110,203,42 
120,326,122 
130,425,97 
140,511,88 
150,610,98 
160,753,144 
170,787,25 
180,951,60 
190,1202,68 
200,1316,8 
210,1735,17 
220,2229,192 
230,2403,47 
240,2403,-47 
250,2403,-903 
260,2403,-218 
270,2403,0 
280,2403,0 
290,2403,0 
292,2403,0 
