time,users,connected 
0,8,7 
10,14,13 
20,17,17 
30,22,20 
40,41,40 
50,38,39 
60,39,39 
70,57,57 
80,73,73 
90,114,112 
100,162,160 
110,199,202 
120,326,324 
130,423,421 
140,511,509 
150,608,607 
160,750,751 
170,778,776 
180,949,836 
190,1202,904 
200,1310,912 
210,1733,929 
220,2224,1121 
230,2395,1168 
240,1371,1121 
250,183,218 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
292,0,0 
