time,cpu@tsung_controller@ip-172-31-50-238 
0,1.8667695443631276 
10,0.15022533800701052 
20,0.40040040040040037 
30,0.25037556334501754 
40,0.25037556334501754 
50,0.4506760140210316 
60,0.2008032128514056 
70,0.40060090135202797 
80,0.7003501750875438 
90,0.45203415369161226 
100,0.9514271407110666 
110,1.2042147516307076 
120,1.4543630892678034 
130,1.7650025214321734 
140,1.710261569416499 
150,2.8268551236749118 
160,5.326633165829145 
170,6.092648539778449 
180,6.9674185463659155 
190,9.533572526909277 
200,13.829229963331588 
210,14.231805929919137 
220,19.795037756202806 
230,24.399776661083195 
240,28.547486033519554 
250,20.420258620689655 
260,8.045384218669417 
270,0.5012531328320802 
280,0.09995002498750624 
290,0.0 
292,0.05002501250625312 
