time,connect,request 
0,0.9,2.2 
10,1.2,5.8 
20,0.9,8.8 
30,1.7,12 
40,2.5,15.9 
50,1.8,20 
60,3.6,20.7 
70,3.9,27.4 
80,4,34.6 
90,6.3,42.3 
100,5.9,50 
110,6,55.3 
120,14.2,64.3 
130,15.6,74.2 
140,16.1,95 
150,32.3,147.2 
160,51.4,232.8 
170,120.7,295.2 
180,161.1,347 
190,263,422.8 
200,346.7,544 
210,441.1,687.6 
220,580.3,920.7 
230,661,1122.7 
240,446.2,823.1 
