time,users_count,finish_users_count 
0,6,6 
10,20,20 
20,27,27 
30,36,36 
40,63,63 
50,81,81 
60,106,106 
70,148,148 
80,178,178 
90,245,245 
100,316,315 
110,409,409 
120,525,525 
130,688,688 
140,854,854 
150,1094,1094 
160,1396,1394 
170,1705,1705 
180,2207,2206 
190,2816,2815 
200,3470,3466 
210,4385,4313 
220,5609,5416 
230,6836,6645 
240,8674,8482 
250,11142,10948 
260,13571,13378 
270,17555,17360 
