time,page 
0,8.282599220051637 
10,5.425736520777562 
20,1.2642180523749118 
30,7.937819498770535 
40,11.893092195791638 
50,3.6991635392342412 
60,5.255626276804381 
70,3.7560746170616146 
80,8.27960303268755 
90,5.995793123667476 
100,4.575011426776492 
110,8.776608581605267 
120,5.609454114657734 
130,5.996467792700076 
140,10.03704606334376 
150,7.62422340149294 
160,7.992351753147147 
170,7.591293260283665 
180,17.676560772539474 
190,16.456601453865005 
200,16.50240430155513 
210,162.69705085319376 
220,523.5647125925466 
230,724.0008436272551 
240,913.655649637225 
250,908.4769101803611 
260,924.2201478520705 
270,820.4053177907446 
