time,session 
0,32.74949999999999 
10,33.66928571428572 
20,27.96642857142857 
30,31.22022222222222 
40,30.940148148148154 
50,29.28294444444445 
60,29.24968 
70,28.671571428571426 
80,30.166499999999996 
90,30.90029850746269 
100,30.237442857142852 
110,31.517212765957446 
120,29.305103448275865 
130,30.448705521472398 
140,31.845716867469864 
150,32.48605416666659 
160,32.30717333333334 
170,32.394774919614136 
180,41.69750299401199 
190,42.557303776683156 
200,44.213980030721956 
210,223.8164935064934 
220,1167.3263789664543 
230,1549.8473799837275 
240,1043.9743826891668 
250,786.6910283860483 
260,793.0375222222228 
270,489.28954846810734 
