time,cpu@tsung_controller@ip-172-31-36-55 
0,1.0609946889893556 
10,1.0609946889893556 
20,1.0609946889893556 
30,1.0609946889893556 
40,1.0609946889893556 
50,1.0609946889893556 
60,1.0609946889893556 
70,1.0609946889893556 
80,1.0609946889893556 
90,1.5022533800701052 
100,1.5022533800701052 
110,1.5022533800701052 
120,1.5022533800701052 
130,1.5022533800701052 
140,1.5022533800701052 
150,1.6 
160,1.6 
170,1.6 
180,1.6 
190,2.0222446916076846 
200,2.432843385707045 
210,3.0010172939979656 
220,3.158984981874676 
230,4.254201680672269 
240,4.411764705882353 
250,7.131452900478978 
260,8.369565217391305 
270,8.369565217391305 
