time,users,connected 
0,5,3 
10,6,0 
20,7,4 
30,14,6 
40,14,1 
50,16,-4 
60,30,19 
70,31,-3 
80,31,-2 
90,45,20 
100,52,3 
110,52,-4 
120,104,56 
130,104,-10 
140,104,1 
150,255,161 
160,387,135 
170,491,104 
180,734,148 
190,776,26 
200,776,34 
210,1126,28 
220,1142,88 
230,1142,-15 
240,1142,-737 
250,1142,-62 
260,1142,0 
270,1142,0 
280,1142,0 
290,1142,0 
292,1142,0 
