time,users,connected 
0,6,5 
10,7,-2 
20,7,3 
30,15,6 
40,15,2 
50,17,-9 
60,37,32 
70,37,-14 
80,37,7 
90,41,10 
100,44,-9 
110,50,16 
120,105,53 
130,107,-20 
140,107,20 
150,191,76 
160,193,-4 
170,194,-8 
180,496,324 
190,915,421 
200,1353,434 
210,1694,339 
220,1742,42 
230,1742,-81 
240,1742,-1142 
