time,cpu@tsung_controller@ip-172-31-53-64 
0,5.258499073331305 
10,0.5002501250625313 
20,0.10015022533800699 
30,0.25 
40,0.10025062656641603 
50,0.3001500750375188 
60,0.40040040040040037 
70,0.4506760140210316 
80,0.4012036108324975 
90,0.5007511266900351 
100,0.7035175879396985 
110,1.0510510510510511 
120,1.0015022533800702 
130,1.8463073852295409 
140,2.155388471177945 
150,2.206619859578736 
160,3.9579158316633265 
170,5.628140703517588 
180,5.055055055055055 
190,7.070193285859613 
200,7.124681933842239 
210,7.8760162601626025 
220,15.684264479753974 
230,16.408668730650156 
240,18.62845445240532 
250,9.768378650553878 
260,4.354354354354354 
270,0.0 
280,0.0 
290,0.1 
292,0.0 
