time,users,connected 
0,5,5 
10,2,2 
20,0,0 
30,4,3 
40,5,5 
50,7,8 
60,6,6 
70,8,11 
80,11,10 
90,24,25 
100,21,26 
110,19,21 
120,37,34 
130,42,44 
140,43,44 
150,66,61 
160,80,77 
170,78,71 
180,413,408 
190,810,809 
200,1102,1103 
210,1285,1280 
220,1287,1288 
230,1275,1275 
240,763,827 
250,0,0 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
292,0,0 
