time,users_count,finish_users_count 
0,1.2,0.7 
10,0.8,1.1 
20,1,1.2 
30,1.6,1.2 
40,1.9,1.8 
50,2.3,2.1 
60,3.8,3.9 
70,3.5,3.3 
80,4.2,3.9 
90,7.1,5.8 
100,8,8.3 
110,7.6,7.8 
120,13.6,11.8 
130,16.7,16.2 
140,16.1,16 
150,27,24.7 
160,32.8,31.4 
170,33.6,33.8 
180,57,23.5 
190,65.2,25.5 
200,58.9,29.7 
210,115.2,96.9 
220,125.3,125.1 
230,126.6,127.8 
240,20.8,72 
250,0,76.3 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
292,0,0 
