time,page 
0,102.24892307692306 
10,67.79945945945944 
20,56.01435714285715 
30,91.04606153846154 
40,54.344743243243215 
50,63.38916363636361 
60,75.79771794871792 
70,65.09380916030534 
80,60.31348275862068 
90,72.7858785046729 
100,63.78439442231079 
110,64.7433333333333 
120,71.59218458417847 
130,66.21481679389312 
140,69.6263350340136 
150,69.80613341204264 
160,72.3699627611261 
170,66.18815260017054 
180,69.53432382134024 
190,70.19050846660379 
200,70.11946690518788 
210,73.28572114216249 
220,72.56577537950659 
230,69.61109259673455 
240,75.0233266561514 
250,76.96120487920395 
260,72.84014071084246 
270,262.96980740604505 
280,1067.595922407172 
290,1987.0902579979327 
300,3177.292746044734 
310,1545.1022612433933 
320,21.23987033398824 
330,16.53 
