time,size_sent,size_rcv 
0,20.584375,253.23203125 
10,53.79921875,614.18828125 
20,79.89609375,902.1109375 
30,130.7765625,1472.38125 
40,190.30625,2076.821875 
50,228.00546875,2422.16171875 
60,313.69375,3396.70546875 
70,419.72421875,4478.46953125 
80,532.446875,5646.09453125 
90,706.53671875,7455.4203125 
100,893,9433.87421875 
110,1123.959375,12070.553125 
120,1510.78828125,16367.05 
130,1891.440625,20273.78828125 
140,2344.76953125,25014.13515625 
150,2997.9953125,32137.83984375 
160,3875.7625,41787.6515625 
170,4805.62734375,51741.17578125 
180,6017.13359375,66095.90703125 
190,7718.42265625,85904.7703125 
200,9558.94609375,106820.32890625 
210,12179.1375,139803.22578125 
220,15543.23359375,180923.06171875 
230,19096.5296875,224576.69453125 
240,24060.14765625,293158.8625 
250,30646.8953125,386224.1109375 
260,37769.33125,487627.52890625 
270,46459.33203125,621008.48046875 
280,55909.2640625,778326.771875 
290,65304.4015625,941796.984375 
300,73836.78359375,1113256.428125 
310,77651.29921875,1142371.01796875 
320,78178.009375,1144259.9171875 
330,78179.07265625,1144263.3546875 
