time,200,500,302 
0,4.2,,1.1 
10,6.1,,1.7 
20,5,,1.3 
30,9.4,,3.1 
40,11.2,,3.1 
50,6.5,,2.1 
60,16.9,,4.6 
70,18.9,,6.1 
80,21.7,,5.8 
90,31,,10.5 
100,35.3,,10.1 
110,45.8,,10.7 
120,73.2,,21.6 
130,68.1,,22.5 
140,81.7,,25 
150,121.1,,36.1 
160,159.4,,50.1 
170,168.2,,52.5 
180,231.5,,67.8 
190,311.5,,95.7 
200,331.4,,101.4 
210,497.9,,140.7 
220,610.6,,190.1 
230,645.6,,195.5 
240,936,,274.1 
250,1209.3,,366.5 
260,1293.8,,391.2 
270,1567.6,,464.9 
280,1694.5,,500.8 
290,1682.8,5.9,487.4 
300,1589.6,10.2,507.9 
310,596.7,0,242.3 
320,61.2,0,40.1 
330,0.1,0,0.1 
