time,error_connection_closed,error_send_einval 
200,0.2, 
210,6.1,0.2 
220,8.2,0.2 
230,1.3,0.1 
240,0,0 
250,0,0 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
295,0,0 
