time,users_count,finish_users_count 
0,5,0 
10,16,1 
20,22,8 
30,44,16 
40,64,24 
50,87,45 
60,109,72 
70,144,89 
80,187,119 
90,231,152 
100,312,195 
110,419,258 
120,543,348 
130,718,429 
140,894,592 
150,1082,751 
160,1416,916 
170,1731,1157 
180,2214,1473 
190,2834,1711 
200,3467,1957 
210,4416,2447 
220,5682,3081 
230,6856,3999 
240,7502,5306 
250,7502,6828 
260,7502,7500 
270,7502,7502 
280,7502,7502 
290,7502,7502 
295,7502,7502 
