time,connect,request 
0,4.295750000000001,44.11217142857145 
10,1.217285714285714,39.66779310344828 
20,1.1666666666666667,34.68491525423728 
30,1.4517499999999999,38.73029710144924 
40,1.2077894736842103,36.987122699386475 
50,1.155578947368421,37.97247486033521 
60,2.2536785714285714,37.94109999999999 
70,1.2998,36.90852 
80,1.237785714285714,35.31985214007782 
90,1.3807164179104479,39.42749103942651 
100,1.2853999999999999,37.29168398876399 
110,1.240582089552239,37.95378861788617 
120,1.379208633093525,41.51388347107432 
130,1.1952594936708862,40.68806162464989 
140,1.272969135802469,41.843916204986115 
150,1.3011570247933886,48.14317236467231 
160,1.2434792899408278,51.14092310220197 
170,1.1653424657534235,51.337861352474526 
180,1.2364034749034747,243.65475483247405 
190,1.0824396955503532,947.5183029308874 
200,1.0498582246529236,987.6351717101826 
210,1.1165471698113136,718.4779461595416 
220,1.059647827179097,580.241755230314 
230,1.0781576966503597,556.641481661919 
240,1.1078279797125927,642.1681389337652 
245,0,15.156481781376527 
