time,users_count,finish_users_count 
0,9,7 
10,16,13 
20,22,21 
30,38,34 
40,56,52 
50,75,74 
60,104,95 
70,140,130 
80,171,162 
90,235,211 
100,315,292 
110,382,363 
120,522,481 
130,681,649 
140,840,805 
150,1091,1008 
160,1423,1350 
170,1715,1654 
180,2232,1897 
190,2904,2224 
200,3531,2845 
210,4506,3598 
220,5746,4872 
230,6994,6126 
240,7457,7403 
245,7457,7457 
