time,cpu@tsung_controller@ip-172-31-50-170 
0,4.996991047701214 
10,4.996991047701214 
20,4.996991047701214 
30,4.996991047701214 
40,19.62209302325581 
50,19.62209302325581 
60,19.62209302325581 
70,19.62209302325581 
80,19.62209302325581 
90,19.62209302325581 
100,19.62209302325581 
110,19.62209302325581 
120,19.62209302325581 
130,19.62209302325581 
140,19.62209302325581 
150,19.62209302325581 
160,19.62209302325581 
170,19.62209302325581 
180,19.62209302325581 
190,19.62209302325581 
200,19.62209302325581 
210,19.62209302325581 
220,22.957821676454884 
230,25.0 
240,26.933625891387823 
245,26.933625891387823 
