time,session 
0,0.7 
10,0.6 
20,0.8 
30,1.3 
40,1.8 
50,2.2 
60,2.1 
70,3.5 
80,3.2 
90,4.9 
100,8.1 
110,7.1 
120,11.8 
130,16.8 
140,15.6 
150,20.3 
160,34.2 
170,30.4 
180,24.3 
190,32.7 
200,62.1 
210,75.3 
220,127.4 
230,125.4 
240,127.7 
245,5.4 
