time,users_count,finish_users_count 
0,0.8,0.7 
10,1.2,0.7 
20,1,1.6 
30,2.1,1.6 
40,2,2.3 
50,1.1,1.1 
60,4.7,3.8 
70,3.9,3.9 
80,3.6,4.1 
90,6.8,6.1 
100,8.2,7.6 
110,7.4,8.3 
120,15.1,13.5 
130,15,15.2 
140,15.6,13.7 
150,28.3,24.8 
160,31.7,30.9 
170,32.1,35.4 
180,55.2,47.7 
190,60.4,61.2 
200,62.8,62.1 
210,109.4,97.7 
220,126.1,122.6 
230,116.9,120.2 
240,220.7,193.6 
250,237.6,240 
260,242.7,240.6 
270,468.4,351.7 
280,509.1,507.4 
290,502.6,511.8 
300,86.6,247.2 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
352,0,0 
