time,connect,request 
0,2.7017499999999997,36.65413157894738 
10,1.2375999999999998,19.63002272727273 
20,1.2845,14.944205882352945 
30,1.2014285714285713,14.340322580645159 
40,1.2850000000000004,16.44102830188678 
50,1.2215454545454547,14.179736842105259 
60,1.3573409090909092,12.783980198019808 
70,1.1786585365853663,12.431545893719811 
80,1.2451891891891895,12.10537172774869 
90,1.1834126984126982,12.176234527687297 
100,1.3425057471264368,12.396850961538483 
110,1.2990135135135132,12.051493506493513 
120,1.261699999999999,11.764455307262565 
130,1.2477094594594593,11.756822281167102 
140,1.2237712418300646,11.586147994467506 
150,1.2754529616724737,12.06476096491227 
160,1.217179153094462,11.644422425032591 
170,1.2871722054380659,11.489053435114489 
180,1.1995154826958074,12.028617283950606 
190,1.2438656716417908,11.57952820851205 
200,1.2673892405063296,11.34938544990424 
210,1.1770533578656843,12.849881284649195 
220,1.1738911671924264,12.98312495999999 
230,1.1775025641025614,12.29870759343814 
240,1.0996732435033678,18.471806860854443 
250,1.1666714046822728,21.135601946593425 
260,1.1848823048630934,20.62988580145114 
270,1.214273324742265,219.48042764676393 
280,1.279919239474884,252.33832817227972 
290,1.2251571589416346,251.0725366923953 
300,1.313805863192183,275.9520337041161 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
352,0,0 
