time,page 
0,93.00406666666667 
10,50.95847058823529 
20,36.432785714285714 
30,37.192249999999994 
40,40.66251162790698 
50,35.2797391304348 
60,32.831772151898754 
70,31.145216867469884 
80,30.182493506493504 
90,30.793934426229516 
100,31.45505487804879 
110,30.02078846153846 
120,29.867939929328625 
130,29.418488448844894 
140,29.55479298245614 
150,30.679146296296267 
160,29.216817589576536 
170,28.667142857142853 
180,30.620483365949102 
190,29.058052761747724 
200,28.531353035143717 
210,32.56339516908205 
220,32.69391850662392 
230,30.760507166947722 
240,46.944266529457074 
250,52.90448909204227 
260,51.84455980169369 
270,556.1276520939963 
280,631.4887051256864 
290,627.62679890561 
300,649.7950178571407 
310,0 
320,0 
330,0 
340,0 
350,0 
352,0 
