time,users_count,finish_users_count 
0,8,7 
10,20,14 
20,30,30 
30,51,46 
40,71,69 
50,82,80 
60,129,118 
70,168,157 
80,204,198 
90,272,259 
100,354,335 
110,428,418 
120,579,553 
130,729,705 
140,885,842 
150,1168,1090 
160,1485,1399 
170,1806,1753 
180,2358,2230 
190,2962,2842 
200,3590,3463 
210,4684,4440 
220,5945,5666 
230,7114,6868 
240,9321,8804 
250,11697,11204 
260,14124,13610 
270,18808,17127 
280,23899,22201 
290,28925,27319 
300,29791,29791 
310,29791,29791 
320,29791,29791 
330,29791,29791 
340,29791,29791 
350,29791,29791 
352,29791,29791 
