time,error_connection_closed,error_send_einval 
270,25.9,1.5 
280,52.4,3.3 
290,41.9,2 
300,10.6,0.4 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
352,0,0 
