time,cpu@tsung_controller@ip-172-31-32-225 
0,7.660719989049595 
10,0.7976071784646062 
20,0.5486284289276808 
30,1.1952191235059761 
40,0.5988023952095809 
50,0.8959681433549029 
60,2.5373134328358207 
70,1.5369360436291521 
80,2.974714923153198 
90,2.430555555555556 
100,2.852926709296606 
110,3.6818851251840945 
120,4.449877750611247 
130,4.375614552605703 
140,6.450048496605238 
150,7.865707434052757 
160,10.294117647058822 
170,12.171052631578947 
180,13.560111835973904 
190,16.969696969696972 
200,24.486940298507463 
210,27.920883164673416 
220,32.612612612612615 
230,39.683972911963885 
240,44.19817470664928 
250,37.09239130434783 
260,19.422449930135073 
270,3.59251968503937 
280,0.10010010010010009 
