time,users_count,finish_users_count 
0,7,0 
10,19,1 
20,28,8 
30,45,21 
40,66,29 
50,82,48 
60,110,70 
70,150,86 
80,190,116 
90,256,156 
100,342,187 
110,437,207 
120,566,242 
130,730,302 
140,885,387 
150,1135,560 
160,1459,761 
170,1762,1002 
180,2256,1339 
190,2864,1693 
200,3455,2181 
210,4491,2854 
220,5788,3460 
230,6974,4597 
240,7451,5874 
250,7451,7016 
260,7451,7450 
270,7451,7451 
280,7451,7451 
