time,users,connected 
0,9,8 
10,19,11 
20,19,-6 
30,19,-2 
40,30,19 
50,39,3 
60,47,13 
70,67,19 
80,74,3 
90,94,24 
100,132,36 
110,148,17 
120,202,55 
130,274,73 
140,290,1 
150,379,103 
160,538,159 
170,582,41 
180,775,193 
190,1189,412 
200,1663,471 
210,2439,777 
220,3099,666 
230,3468,348 
240,3468,-872 
