time,cpu@tsung_controller@ip-172-31-32-66 
0,15.650440976933513 
10,15.650440976933513 
20,15.650440976933513 
30,15.650440976933513 
40,15.650440976933513 
50,15.650440976933513 
60,15.650440976933513 
70,15.650440976933513 
80,15.650440976933513 
90,15.650440976933513 
100,15.650440976933513 
110,15.650440976933513 
120,15.650440976933513 
130,15.650440976933513 
140,15.650440976933513 
150,15.650440976933513 
160,15.650440976933513 
170,15.650440976933513 
180,15.650440976933513 
190,15.650440976933513 
200,15.650440976933513 
210,15.650440976933513 
220,19.377510040160644 
230,27.61998041136141 
