time,size_sent,size_rcv 
0,10.00234375,79.36484375 
10,30.00234375,216.44453125 
20,14.40859375,95.80078125 
30,25.3890625,206.22265625 
40,46.67890625,322.64296875 
50,50.19296875,344.63984375 
60,89.13671875,672.8375 
70,125.83046875,926.52265625 
80,98.1703125,724.91484375 
90,119.88359375,947.884375 
100,193.27890625,1441.0515625 
110,264.6171875,1853.5625 
120,277.01328125,2051.4921875 
130,383.840625,2905.8859375 
140,449.14375,3335.55 
150,592.1234375,4862.0328125 
160,835.34140625,6753.28203125 
170,823.2828125,6628.0078125 
180,1321.7765625,11329.6203125 
190,1691.14453125,14452.8703125 
200,1716.63671875,14548.80078125 
210,2462.74296875,22721.8171875 
220,3260.5125,29982.0796875 
230,3579.67421875,33014.19296875 
240,4244.01171875,41848.2671875 
250,5333.265625,54974.29296875 
260,5278.459375,57665.9015625 
270,5949.55625,58113.2328125 
280,9919.2640625,62949.6421875 
290,10575.60546875,79814.0921875 
300,7831.959375,73291.9734375 
310,6503.49375,69077.41015625 
320,1863.3203125,6505.94609375 
330,27.55625,87.90703125 
340,0,0 
350,0,0 
