time,load@tsung_controller@ip-172-31-0-234 
0,0.4609375 
10,0.390625 
20,0.328125 
30,0.28125 
40,0.23828125 
50,0.19921875 
60,0.171875 
70,0.140625 
80,0.12109375 
90,0.1015625 
100,0.078125 
110,0.0703125 
120,0.05859375 
130,0.05078125 
140,0.0390625 
150,0.12109375 
160,0.1015625 
170,0.16015625 
180,0.12890625 
190,0.1796875 
200,0.16015625 
210,0.2109375 
220,0.171875 
230,0.1484375 
240,0.19921875 
250,0.328125 
260,0.44140625 
270,0.51953125 
280,0.51953125 
290,0.6015625 
300,0.80859375 
310,0.76953125 
320,0.73046875 
330,0.62109375 
340,0.51953125 
350,0.44140625 
