time,users_count,finish_users_count 
0,7,3 
10,15,12 
20,20,18 
30,33,24 
40,51,42 
50,67,60 
60,111,89 
70,157,137 
80,190,175 
90,245,215 
100,325,274 
110,414,369 
120,533,459 
130,670,592 
140,837,740 
150,1088,936 
160,1386,1242 
170,1721,1521 
180,2235,1957 
190,2849,2532 
200,3437,3089 
210,4493,3908 
220,5701,4975 
230,6904,6210 
240,9098,7500 
250,11615,8957 
260,14067,10386 
270,18299,12045 
280,22794,15754 
290,27211,20193 
300,28315,22986 
310,28315,27304 
320,28315,28298 
330,28315,28315 
340,28315,28315 
350,28315,28315 
