time,nomatch,match,match_stop 
270,22,1310,22 
280,350,1522,350 
290,649,1737,649 
300,746,1928,746 
310,746,2095,746 
320,746,2095,746 
330,746,2095,746 
340,746,2095,746 
350,746,2095,746 
