time,session 
0,62.15034934915673 
10,4283.113347791908 
20,5146.032342289914 
30,5489.84873660805 
40,4935.524287828383 
50,6163.000083848341 
60,4254.140998963502 
70,4910.227096042408 
80,6802.258153157115 
90,6950.497541733854 
100,4639.484920485829 
110,5919.354080374084 
120,5841.441610624545 
130,5344.6482363282275 
140,6584.487122861674 
150,5849.358794646003 
160,5674.25833767451 
170,6186.0830355459575 
180,5347.545824533387 
190,5442.258688590433 
200,6201.889275682084 
210,5745.437919467491 
220,5194.568261611325 
230,6290.6411606451275 
240,6213.532371106132 
250,5736.122620138752 
260,6438.5638247474135 
270,8508.741445933327 
280,9540.486928070686 
290,9704.79605049472 
300,10408.464115449162 
310,8272.277070308037 
320,3248.8077176822326 
330,1372.6327058163872 
340,0 
350,0 
