time,users_count,finish_users_count 
0,0.7,0.3 
10,0.8,0.9 
20,0.5,0.6 
30,1.3,0.6 
40,1.8,1.8 
50,1.6,1.8 
60,4.4,2.9 
70,4.6,4.8 
80,3.3,3.8 
90,5.5,4 
100,8,5.9 
110,8.9,9.5 
120,11.9,9 
130,13.7,13.3 
140,16.7,14.8 
150,25.1,19.6 
160,29.8,30.6 
170,33.5,27.9 
180,51.4,43.6 
190,61.4,57.5 
200,58.8,55.7 
210,105.6,81.9 
220,120.8,106.7 
230,120.3,123.5 
240,219.4,129 
250,251.7,145.7 
260,245.2,142.9 
270,423.2,165.9 
280,449.5,370.9 
290,441.7,443.9 
300,110.4,279.3 
310,0,431.8 
320,0,99.4 
330,0,1.7 
340,0,0 
350,0,0 
