time,load@tsung_controller@ip-172-31-59-214 
0,0.19140625 
10,0.16015625 
20,0.140625 
30,0.12109375 
40,0.1015625 
50,0.078125 
60,0.0703125 
70,0.05859375 
80,0.05078125 
90,0.0390625 
100,0.03125 
110,0.03125 
120,0.01953125 
130,0.01953125 
140,0.01953125 
150,0.01171875 
160,0.01171875 
170,0.078125 
180,0.0703125 
190,0.05859375 
200,0.05078125 
210,0.0390625 
220,0.03125 
230,0.03125 
240,0.1015625 
250,0.078125 
260,0.0703125 
270,0.05859375 
280,0.05078125 
290,0.0390625 
300,0.26171875 
310,0.21875 
320,0.19140625 
323,0.16015625 
