time,users,connected 
0,4,3 
10,11,7 
20,11,-10 
30,11,6 
40,16,7 
50,24,9 
60,41,12 
70,41,-11 
80,41,9 
90,70,35 
100,86,-11 
110,88,19 
120,136,55 
130,194,52 
140,195,11 
150,196,-1 
160,196,1 
170,197,-2 
180,197,2 
190,197,-1 
200,197,-5 
210,201,6 
220,201,0 
230,201,1 
240,201,-1 
250,202,2 
260,202,-2 
270,206,0 
280,209,-1 
290,209,1 
300,209,-60 
310,209,-86 
320,209,-47 
323,209,0 
