time,cpu@tsung_controller@ip-172-31-36-20 
0,5.7881261001760285 
10,5.7881261001760285 
20,5.7881261001760285 
30,5.7881261001760285 
40,5.7881261001760285 
50,5.7881261001760285 
60,5.7881261001760285 
70,5.7881261001760285 
80,5.7881261001760285 
90,5.7881261001760285 
100,5.7881261001760285 
110,5.7881261001760285 
120,5.7881261001760285 
130,5.7881261001760285 
140,5.7881261001760285 
150,5.7881261001760285 
160,5.7881261001760285 
170,6.19647355163728 
180,6.19647355163728 
190,6.670061099796334 
200,8.599382080329557 
210,8.623376623376624 
220,8.623376623376624 
230,8.623376623376624 
