time,cpu@tsung_controller@ip-172-31-36-20 
0,5.7881261001760285 
10,0.949050949050949 
20,0.5505505505505506 
30,0.5497251374312844 
40,0.3003003003003003 
50,0.7492507492507493 
60,0.8512769153730596 
70,0.9004502251125562 
80,1.4970059880239521 
90,1.7500000000000002 
100,1.945137157107232 
110,0.9547738693467337 
120,1.7517517517517518 
130,1.8509254627313656 
140,3.2835820895522385 
150,3.537618335824614 
160,4.757135703555333 
170,6.19647355163728 
180,6.1871227364185115 
190,6.670061099796334 
200,8.599382080329557 
210,8.623376623376624 
220,6.740442655935613 
230,2.694610778443114 
