time,nomatch,match,match_stop 
130,26,445,26 
140,166,481,166 
150,345,553,345 
160,597,620,597 
170,849,708,849 
180,1256,787,1256 
190,1830,862,1830 
200,2378,931,2378 
210,3398,1000,3398 
220,4580,1099,4580 
230,5698,1186,5698 
240,6053,1273,6053 
247,6053,1405,6053 
