time,cpu@tsung_controller@ip-172-31-52-155 
0,0.7047139201772666 
10,0.25037556334501754 
20,0.24987506246876562 
30,0.29955067398901647 
40,0.3501750875437719 
50,0.35000000000000003 
60,0.3003003003003003 
70,0.3501750875437719 
80,0.5499999999999999 
90,0.4014049172102358 
100,1.4507253626813406 
110,1.2512512512512513 
120,1.1038635223281485 
130,1.4536340852130327 
140,2.048975512243878 
150,2.062374245472837 
160,4.114400401404917 
170,4.720812182741117 
180,5.432595573440644 
190,8.066132264529058 
200,9.779338014042125 
210,10.16949152542373 
220,17.34592445328032 
230,17.775571002979145 
240,17.43027888446215 
247,4.127299850820487 
