time,nomatch,match,match_stop 
130,2.6,3.9,2.6 
140,14,3.6,14 
150,17.9,7.2,17.9 
160,25.2,6.7,25.2 
170,25.2,8.8,25.2 
180,40.7,7.9,40.7 
190,57.4,7.5,57.4 
200,54.8,6.9,54.8 
210,102,6.9,102 
220,118.2,9.9,118.2 
230,111.8,8.7,111.8 
240,35.5,8.7,35.5 
247,0,13.2,0 
