time,page 
0,90.32905 
10,67.61693333333338 
20,84.81895000000002 
30,74.56058108108112 
40,76.72266279069764 
50,91.04124390243899 
60,69.08849180327869 
70,100.83300806451612 
80,118.111725 
90,363.083235059761 
100,883.0100180505415 
110,1014.533642611684 
120,1741.1568218181826 
130,3470.1551638418055 
140,2933.6096317626516 
150,2533.1605425652665 
160,1776.7855245143385 
170,1793.8859197761208 
180,1097.2656957831348 
190,950.8080126953123 
200,977.5582180217498 
210,541.871014661133 
220,540.2038598425207 
230,525.792942712497 
240,1801.9319044652123 
247,3108.4770486891375 
